Eudialyte group,True,
Euxenite-(Y),True,
Eveite,True,
Evenkite,True,
Eveslogite,True,
Elsmoreite,False,(pure hydrokenoelsmoreite)
Emerald,False,(green gem variety of beryl)
Fabianite,True,
Farneseite,True,
Faujasite (subgroup of zeolites),True,
Faustite,True,
Fayalite (olivine group),True,
Feldspar (mineral group),True,
Feldspathoid (mineral group),True,
Felsőbányaite,True,
Ferberite,True,
Fergusonite (mineral group),True,
Feroxyhyte,True,
Ferrierite (subgroup of zeolite minerals),True,
Ferrihydrite,True,
Ferrimolybdite,True,
Ferro-actinolite,True,
Ferrogedrite,True,
Ferrohortonolite (olivine group),True,
Ferronigerite-2N1S,True,
Ferropericlase,True,
Ferroselite,True,
Fettelite,True,
Fichtelite,True,
Fletcherite,True,
Fluckite,True,
Fluellite,True,
Fluoborite,True,
Fluocerite,True,
Fluor-buergerite,True,
Fluor-liddicoatite,True,
Fluor-uvite,True,
Fluorapatite (apatite group),True,
Fluorapophyllite-(K),True,
Fluorcaphite,True,
Fluorellestadite,True,
Fluorite,True,
Fluororichterite (amphibole group),True,
Fornacite,True,
Forsterite (olivine group),True,
Fougèrite (layered double hydroxide),True,
Fourmarierite,True,
Fraipontite,True,
Francevillite,True,
Franckeite,True,
Frankamenite,True,
Frankdicksonite,True,
Frankhawthorneite,True,
Franklinite (spinel group),True,
Franklinphilite,True,
Freibergite,True,
Freieslebenite,True,
Fukuchilite,True,
Fassaite,False,(variety of augite)
Ferrocolumbite,False,(synonym of columbite-(Fe))
Ferrotantalite,False,(synonym of tantalite-(Fe))
Fluorspar,False,(synonym of fluorite)
Francolite,False,(variety of fluorapatite)
Gabrielite,True,
Gadolinite (mineral group),True,
Gagarinite-(Ce),True,
Gahnite,True,
Galaxite,True,
Galena,True,
Galkhaite,True,
Gananite,True,
Garnet (mineral group),True,
Gaspeite,True,
Gatehouseite,True,
Gaylussite,True,
Gedrite,True,
Geerite,True,
Gehlenite,True,
Geigerite,True,
Geikielite,True,
Geocronite,True,
Georgerobinsonite,True,
Germanite,True,
Gersdorffite,True,
Getchellite,True,
Gibbsite,True,
Gilalite,True,
Gismondine,True,
Glauberite,True,
Glaucochroite,True,
Glaucodot,True,
Glauconite,True,
Glaucophane,True,
Gmelinite,True,
Godovikovite,True,
Goethite,True,
Gold,True,
Goldmanite,True,
Gonnardite,True,
Gordaite,True,
Gormanite,True,
Goslarite,True,
Graftonite,True,
Grandidierite,True,
Grandreefite,True,
Graphite,True,
Gratonite,True,
Greenalite,True,
Greenockite,True,
Gregoryite,True,
Greifensteinite,True,
Greigite,True,
Grossite,True,
Grossular,True,
Groutite,True,
Grunerite,True,
Guettardite,True,
Gugiaite,True,
Guilleminite,True,
Gunningite,True,
Guyanaite,True,
Gwihabaite,True,
Gypsum,True,
Garnierite,False,(a nickel ore)
Gedanite,False,(fossilized resin)
Glessite,False,(natural resin)
Hafnon,True,
Hagendorfite,True,
Haggertyite,True,
Haidingerite,True,
Haiweeite,True,
Håleniusite-(La),True,
Halite,True,
Halloysite,True,
Halotrichite,True,
Hambergite,True,
Hanksite,True,
Hapkeite,True,
Hardystonite,True,
Harmotome,True,
Hauerite,True,
Hausmannite,True,
Hauyne,True,
Hawleyite,True,
Haxonite,True,
Hazenite,True,
Heazlewoodite,True,
Hectorite,True,
Hedenbergite,True,
Hellyerite,True,
Hematite,True,
Hemihedrite,True,
Hemimorphite,True,
Hemusite,True,
Herbertsmithite,True,
Hercynite,True,
Herderite,True,
Hessite,True,
Heulandite (series of zeolites),True,
Hexaferrum,True,
Hiärneite,True,
Hibonite,True,
Hidalgoite,True,
Hilgardite,True,
Hisingerite,True,
Hodgkinsonite,True,
Hoelite,True,
Hollandite,True,
Holmquistite,True,
Homilite,True,
Hopeite,True,
Hornblende (series of amphiboles),True,
Howlite,True,
Hsianghualite,True,
Hubeite,True,
Hübnerite,True,
Huemulite,True,
Humite,True,
Huntite,True,
Hureaulite,True,
Hutchinsonite,True,
Huttonite,True,
Hydroboracite,True,
Hydrogrossular (series of garnets),True,
Hydrohalite,True,
Hydrokenoelsmoreite,True,
Hydromagnesite,True,
Hydrotalcite,True,
Hydroxylapatite,True,
Hydrozincite,True,
Hatchettite,False,(a paraffin wax)
Heliodor,False,(greenish-yellow variety of beryl)
Heliotrope,False,(variety of chalcedony)
Hessonite,False,(variety of grossular)
Hiddenite,False,(variety of spodumene)
Hyalite,False,(variety of opal)
Hyalophane,False,()
Hypersthene,False,(synonym of enstatite or ferrosilite,or mid-way member of the enstatite–ferrosilite series)
Ianbruceite,True,
Icosahedrite,True,
Idrialite,True,
Ikaite,True,
Illite,True,
Ilmenite,True,
Ilvaite,True,
Imogolite,True,
Indite,True,
Indium,True,
Inyoite,True,
Iodargyrite,True,
Iranite,True,
Iridium,True,
Iron,True,
Ixiolite,True,
Idocrase,False,(synonym of vesuvianite)
Iolite,False,(a gem-quality variety of cordierite)
Jacobsite,True,
Jadarite,True,
Jadeite,True,
Jaffeite,True,
Jalpaite,True,
Jamesonite,True,
Janggunite,True,
Jarosewichite,True,
Jarosite,True,
Jennite,True,
Jeremejevite,True,
Jerrygibbsite,True,
Jimthompsonite,True,
Johannite,True,
Jolliffeite,True,
Jonesite,True,
Jordanite,True,
Julgoldite,True,
Junitoite,True,
Jurbanite,True,
Jade,False,(tough,green mineral either jadeite or nephrite amphibole)
Jasper,False,(variety of quartz)
Jeffersonite,False,(variety of augite)
Jet (lignite),False,(fossilised wood)
Kaatialaite,True,
Kadyrelite,True,
Kaersutite,True,
Kainite,True,
Kainosite-(Y),True,
Kalininite,True,
Kalinite,True,
Kalsilite,True,
Kamacite,True,
Kambaldaite,True,
Kamiokite,True,
Kampfite,True,
Kaňkite,True,
Kanoite,True,
Kaolinite,True,
Karlite,True,
Kassite,True,
Kegelite,True,
Keilite,True,
Kermesite,True,
Kernite,True,
Kesterite,True,
Keyite,True,
Khatyrkite,True,
