,109.5290251917,8.26,G5          ,0.846
,94.0733772342,8.97,G3/G5V      ,0.671
,251.8891687657,6.9,K2          ,1.446
,41.2881915772,9.93,K5          ,1.068
,625,7.42,K4III       ,1.524
,283.2861189802,8.41,A0V         ,0.022
,854.7008547009,8.06,K0          ,1.203
,218.818380744,8.69,F5          ,0.529
,64.1436818473,8.4,G2V         ,0.566
,42.6803243705,8.57,G5          ,0.642
,438.5964912281,8.85,M0          ,1.726
,288.1844380403,8.05,B9          ,0.018
,221.2389380531,7.8,F5          ,0.43
 ,167.5041876047,5.71,G8III       ,0.911
,384.6153846154,7.87,K2          ,1.566
,106.9518716578,7.64,F5IV/V      ,0.5
,237.5296912114,7.66,K0          ,1.3
,209.64360587,8.68,G8III       ,0.944
,59.7371565114,8.12,F8V         ,0.619
,127.3885350318,8.67,F5V         ,0.513
,787.4015748032,7.04,C5p         ,2.835
,222.7171492205,8.44,G0          ,0.898
,333.3333333333,7.05,M1III       ,1.55
,109.2896174863,8.29,F6V         ,0.538
,225.2252252252,7.73,F0          ,0.455
 ,222.2222222222,6.22,G7II-III    ,0.97
 ,171.2328767123,5.53,M2III       ,1.615
,3333.3333333333,8.53,K3II/III    ,1.315
,187.617260788,7.23,F0          ,0.388
,48.971596474,8.61,G5          ,0.787
,36.886757654,11.28,M2          ,1.308
 ,31.8979266348,10.76,M1.5V:      ,1.384
,3703.7037037037,8.93,A0          ,0.021
,100.7049345418,7.95,G0IV        ,0.654
,211.4164904863,7.46,A2IV        ,0.16
,120.6272617612,8.6,F3V         ,0.435
,2777.7777777778,8.55,G8III       ,1.093
,133.5113484646,6.82,K0          ,1.071
,353.3568904594,8.29,K1IIICNIV   ,1.183
,273.2240437158,6.83,K2III       ,1.197
 ,67.7048070413,4.78,K2III       ,1.254
,197.2386587771,7.21,K0          ,1.169
 ,1162.7906976744,5.58,F0III       ,0.407
,196.8503937008,8.7,F2V         ,0.366
,340.1360544218,8.06,G5          ,0.969
,65.7894736842,6.5,Am...       ,0.182
,123.3045622688,8.13,A4V         ,0.2
,284.9002849003,6.62,F5IV        ,0.545
,49.7512437811,8.64,G5          ,0.62
,171.2328767123,6.6,K2III-IV    ,1.153
 ,408.1632653061,6.25,B9IIIp Mn   ,-0.042
,157.7287066246,7.83,K0/K1IV     ,1.074
,178.2531194296,8.47,K5          ,1.35
,62.3441396509,7.33,K0          ,0.73
,280.1120448179,8.66,K5          ,1.364
